comment,cleaned_comment,case_folding,normalization,label,text_en
?????????? ?????????????? ?????????? 17 ?????? ?????? ????,   17   ,   17   ,17,0,17
poco f7 vs xiomi 15t bng.??,poco f7 vs xiomi 15t bng,poco f7 vs xiomi 15t bng,poco f7 vs xiomi 15t bang,1,poco f7 vs xiaomi 15t bro
Salfok case??<br>Beli HP mahal2 dikira cuma beli POC????<br>Cocok yg introvert di tongkrongan sih????,Salfok caseBeli HP mahal2 dikira cuma beli POCCocok yg introvert di tongkrongan sih,salfok casebeli hp mahal2 dikira cuma beli poccocok yg introvert di tongkrongan sih,casebeli hp mahal2 dikira cuma beli poccocok yang introvert di tongkrongan sih,0,"When you buy an expensive cellphone, you think you're just buying a pocket suit for introverts hanging out"
mtap,mtap,mtap,mtap,2,i am
Batu bata ??????,Batu bata ,batu bata ,batu bata,0,brick
Bang coba sih buka sih casing nya apa isinya menonjol kek macam Poco itu?,Bang coba sih buka sih casing nya apa isinya menonjol kek macam Poco itu,bang coba sih buka sih casing nya apa isinya menonjol kek macam poco itu,abang coba sih buka sih casing ya apa isinya menonjol kayak macam poco itu,1,"Bro, try opening the casing and see if the contents stick out like that poco"
"Bang iPhone 17pro gw kok bluetooth nya ngebug ya,pdhl udh update IOS terbaru <br>Pdhl headphone bluetooth bisa nyambung di pixel gw,,knpa ya??",Bang iPhone 17pro gw kok bluetooth nya ngebug yapdhl udh update IOS terbaru Pdhl headphone bluetooth bisa nyambung di pixel gwknpa ya,bang iphone 17pro gw kok bluetooth nya ngebug yapdhl udh update ios terbaru pdhl headphone bluetooth bisa nyambung di pixel gwknpa ya,abang iphone 17pro gue kok bluetooth ya ngebug yapdhl sudah update ios terbaru padahal headphone bluetooth bisa menyambung di pixel gwknpa ya,0,"Brother, my iPhone 17Pro is buggy, but it's the latest iOS update, but Bluetooth headphones can connect to the Pixel, why not?"
Saya cm suka iPhone 13 Mini pink,Saya cm suka iPhone 13 Mini pink,saya cm suka iphone 13 mini pink,saya cuma suka iphone 13 mini pink,1,I just love the pink iphone 13 mini
Ko.. Review huawei pura 80 ultra kapan nih ko? ??,Ko Review huawei pura 80 ultra kapan nih ko ,ko review huawei pura 80 ultra kapan nih ko ,kok review huawei pura 80 ultra kapan nih kok,1,When is the review of the Huawei Pura 80 Ultra?
Bang xiaomi 17 pro dong,Bang xiaomi 17 pro dong,bang xiaomi 17 pro dong,abang xiaomi 17 pro dong,1,Xiaomi 17 pro bro
Pocong Apel 17 Mek mek,Pocong Apel 17 Mek mek,pocong apel 17 mek mek,pocong apel 17 mek mek,1,apple pocong 17 mek mek
Iphone elek...kbeh modelle meh podo.apek android akeh pilihane werno²,Iphone elekkbeh modelle meh podoapek android akeh pilihane werno,iphone elekkbeh modelle meh podoapek android akeh pilihane werno,iphone elekkbeh modelle meh podoapek android akeh pilihane werno,1,"Elegant iPhone, nice model, cool Android, good choice, nice color"
Harga tertinggi IP 17 sampai 50jt an anjir,Harga tertinggi IP 17 sampai 50jt an anjir,harga tertinggi ip 17 sampai 50jt an anjir,harga tertinggi iphone 17 sampai 50jt an anjir,0,The highest price for an iPhone 17 is around IDR 50 million
gua sejak dulu ngak suka sama iphone . . alhamdulilah hp saya sekarang samsung s25 ultra,gua sejak dulu ngak suka sama iphone   alhamdulilah hp saya sekarang samsung s25 ultra,gua sejak dulu ngak suka sama iphone   alhamdulilah hp saya sekarang samsung s25 ultra,gua sejak dulu tidak suka sama iphone alhamdulilah hp saya sekarang samsung s25 ultra,0,"I've always hated iPhones, thank God my cellphone is now a Samsung S25 Ultra"
yang base model dong bg,yang base model dong bg,yang base model dong bg,yang base model dong bang,1,which is the base model bro
"bikin video versus bang, xiaomi 15T pro vs samsung s25fe",bikin video versus bang xiaomi 15T pro vs samsung s25fe,bikin video versus bang xiaomi 15t pro vs samsung s25fe,bikin video versus abang xiaomi 15t pro vs samsung s25fe,1,make a video versus brother xiaomi 15t pro vs samsung s25fe
Intin6a hp iphone bukan buat kaum mendang mending??,Intin6a hp iphone bukan buat kaum mendang mending,intin6a hp iphone bukan buat kaum mendang mending,intin6a hp iphone bukan buat kaum mendang mending,0,intin6a iphone phone is not for mendang mending people
"ngomong2 ios 26 saya sdh coba ios 26.0.1 di beberapa iphone 13pm, 14p sama 15p (gak tau di model lain) dengan hajar main mech arena sama warzone mobile konsumsi baterai sama panas gak jauh beda, cuma navigasi interface nya aja butuh pembiasaan",ngomong2 ios 26 saya sdh coba ios 2601 di beberapa iphone 13pm 14p sama 15p gak tau di model lain dengan hajar main mech arena sama warzone mobile konsumsi baterai sama panas gak jauh beda cuma navigasi interface nya aja butuh pembiasaan,ngomong2 ios 26 saya sdh coba ios 2601 di beberapa iphone 13pm 14p sama 15p gak tau di model lain dengan hajar main mech arena sama warzone mobile konsumsi baterai sama panas gak jauh beda cuma navigasi interface nya aja butuh pembiasaan,ngomong2 ios 26 saya sudah coba ios 2601 di beberapa iphone 13pm 14p sama 15p tidak tau di model lain dengan hajar main mech arena sama warzone mobile konsumsi baterai sama panas tidak jauh beda cuma navigasi interface ya saja butuh pembiasaan,1,"By the way, iOS 26, I've tried iOS 2601 on several iPhones, 13pm 14p and 15p, I don't know about other models, with beatings playing Mech Arena and Warzone Mobile, battery consumption and heat are not much different, just navigating the interface requires getting used to it."
Jdi males up ke 17 wkwkw gada kreativ2 nya jir,Jdi males up ke 17 wkwkw gada kreativ2 nya jir,jdi males up ke 17 wkwkw gada kreativ2 nya jir,jadi malas up ke 17 wkwkw kreativ2 ya jir,0,"so lazy to go up to 17 hahaha creative, bro"
Beli iPhong 17 kontan apa pake KTP bang..?? ????,Beli iPhong 17 kontan apa pake KTP bang ,beli iphong 17 kontan apa pake ktp bang ,beli iphong 17 kontan apa pakai ktp abang,1,"Buy Iphong 17 in cash or use your ID card, bro"
apadaya yang cuman bisa beli samsung a55????????,apadaya yang cuman bisa beli samsung a55,apadaya yang cuman bisa beli samsung a55,apadaya yang cuman bisa beli samsung a55,1,can you only buy a Samsung A55?
"Burik sekali zoomnya, dengan harga yg wadidaw ??",Burik sekali zoomnya dengan harga yg wadidaw ,burik sekali zoomnya dengan harga yg wadidaw ,burik sekali zoomnya dengan harga yang wadidaw,0,Very dotted zoom at a wadidaw price
E buset <br>Eh beset??????,E buset Eh beset,e buset eh beset,e buset eh beset,1,eh basest
Thumbnail nya kok...?,Thumbnail nya kok,thumbnail nya kok,thumbnail ya kok,1,"Love me, cook"
Jauh lebih mending Xiaomi 17 Pro Max kemana-mana lah,Jauh lebih mending Xiaomi 17 Pro Max kemanamana lah,jauh lebih mending xiaomi 17 pro max kemanamana lah,jauh lebih mending xiaomi 17 pro max kemanamana lah,0,It's much better for the Xiaomi 17 Pro Max to go anywhere
Kirain Hp poco,Kirain Hp poco,kirain hp poco,mengira hp poco,0,count hp poco
"buat promax sih enak gak ada masalah soal baterai karna baterai lumayan agak gede, cuma buat varian regulernya atau iphone seri di bawahnya yg gak promax, duh ampun deh. benci banget sama ini glass. kenapa mereka gak buat fitur buat matiin atau hidupin ini ui glassnya sih -_-&quot;",buat promax sih enak gak ada masalah soal baterai karna baterai lumayan agak gede cuma buat varian regulernya atau iphone seri di bawahnya yg gak promax duh ampun deh benci banget sama ini glass kenapa mereka gak buat fitur buat matiin atau hidupin ini ui glassnya sih quot,buat promax sih enak gak ada masalah soal baterai karna baterai lumayan agak gede cuma buat varian regulernya atau iphone seri di bawahnya yg gak promax duh ampun deh benci banget sama ini glass kenapa mereka gak buat fitur buat matiin atau hidupin ini ui glassnya sih quot,buat promax sih enak tidak ada masalah soal baterai karena baterai lumayan agak gede cuma buat varian regulernya atau iphone seri di bawahnya yang tidak promax duh ampun deh benci banget sama ini glass kenapa mereka tidak buat fitur buat matiin atau hidupin ini ui glassnya sih quot,0,"For Promax, it's good, there are no problems with the battery because the battery is quite big, only for the regular variant or iPhone series below which are not Promax, gosh, I really hate this glass, why don't they make a feature to turn this UI glass off or on?"
ngakak liat sticker poconya??,ngakak liat sticker poconya,ngakak liat sticker poconya,mengakak lihat sticker poconya,1,invites you to see Pocoyo stickers
Review laptop x2 elite nya dong,Review laptop x2 elite nya dong,review laptop x2 elite nya dong,review laptop x2 elite ya dong,1,"review of the x2 elite laptop, bro"
oi Effendy temen sekelas g di sanmar! Gemukan u yah setelah menikah.,oi Effendy temen sekelas g di sanmar Gemukan u yah setelah menikah,oi effendy temen sekelas g di sanmar gemukan u yah setelah menikah,oi effendy teman sekelas tidak di sanmar gemukan lu ya setelah menikah,1,"Hey, Effendy, classmate, don't you get fat after getting married?"
apple intellijen aib jir wkwkwk,apple intellijen aib jir wkwkwk,apple intellijen aib jir wkwkwk,apple intellijen aib jir wkwkwk,0,Apple intelligence is a disgrace sir hahaha
Request 17 base model ko sama 16 pro bingung ini??????,Request 17 base model ko sama 16 pro bingung ini,request 17 base model ko sama 16 pro bingung ini,request 17 base model kok sama 16 pro bingung ini,1,Why is requesting 17 base model the same as 16 pro? This is confusing
gopix ini mah ??,gopix ini mah ,gopix ini mah ,gopix ini mah,1,Gopix is ​​this
di tunggu xiaomi 17 pro max nya,di tunggu xiaomi 17 pro max nya,di tunggu xiaomi 17 pro max nya,di tunggu xiaomi 17 pro max ya,1,Waiting for Xiaomi 17 Pro Max?
di tunggu rievew xiaomi 17 pro dan 17 promax nya,di tunggu rievew xiaomi 17 pro dan 17 promax nya,di tunggu rievew xiaomi 17 pro dan 17 promax nya,di tunggu rievew xiaomi 17 pro dan 17 promax ya,1,Waiting for the review of the Xiaomi 17 Pro and 17 ProMax
"Saya pengguna iPhone dari jaman 6s dan sekarang menggunakan 12PM, itupun hadiah istri karena 6s saya masih layak digunakan setelah 5 tahun. Akhir2 ini setelah update OS, iphone jadi sering ngehang dan lemot. Kualitasnya dah benar2 beda dibanding iphone jadul. Waktunya saya upgrade, ke Android ??",Saya pengguna iPhone dari jaman 6s dan sekarang menggunakan 12PM itupun hadiah istri karena 6s saya masih layak digunakan setelah 5 tahun Akhir2 ini setelah update OS iphone jadi sering ngehang dan lemot Kualitasnya dah benar2 beda dibanding iphone jadul Waktunya saya upgrade ke Android ,saya pengguna iphone dari jaman 6s dan sekarang menggunakan 12pm itupun hadiah istri karena 6s saya masih layak digunakan setelah 5 tahun akhir2 ini setelah update os iphone jadi sering ngehang dan lemot kualitasnya dah benar2 beda dibanding iphone jadul waktunya saya upgrade ke android ,saya pengguna iphone dari jaman 6s dan sekarang menggunakan 12pm itupun hadiah istri karena 6s saya masih layak digunakan setelah 5 tahun akhir2 ini setelah update os iphone jadi sering ngehang dan lemot kualitasnya sudah beda dibanding iphone jadul waktunya saya upgrade ke android,0,"I've been using an iPhone since the 6s era and now use 12pm, even though it was a gift from my wife because my 6s is still suitable for use after 5 years. Recently, after updating the OS, the iPhone often freezes and is slow, the quality is different compared to the old iPhone. It's time for me to upgrade to Android."
Agak nyesel sih Switch dr iphone 14 pro ke 17 PM so so gk bgt signifikan kecuali desain.sbnr nya pakai 14pro utk foto &amp; Video ash lbh dr cukup.,Agak nyesel sih Switch dr iphone 14 pro ke 17 PM so so gk bgt signifikan kecuali desainsbnr nya pakai 14pro utk foto amp Video ash lbh dr cukup,agak nyesel sih switch dr iphone 14 pro ke 17 pm so so gk bgt signifikan kecuali desainsbnr nya pakai 14pro utk foto amp video ash lbh dr cukup,agak menyesal sih switch dari iphone 14 pro ke 17 pm sok sok tidak banget signifikan kecuali desainsbnr ya pakai 14pro untuk foto amp video ash lebih dari cukup,0,"I'm a bit sorry for switching from iPhone 14 Pro to 17 PM but it's not really significant except for the design, yes, using 14 Pro for photos & videos is more than enough"
"<a href=""https://www.youtube.com/watch?v=g_fkq6WHcOs&amp;t=541"">9:01</a> Wkwkwk di iPhone udah kek jejeran planet di tata surya flarenya??",a href Wkwkwk di iPhone udah kek jejeran planet di tata surya flarenya,a href wkwkwk di iphone udah kek jejeran planet di tata surya flarenya,a href wkwkwk di iphone sudah kayak jejeran planet di tata surya flarenya,1,a href hahaha on the iPhone it's like a row of planets in the solar system flare
"Yg penting jangan gores pakai seng atau titanium, karna akan permanen",Yg penting jangan gores pakai seng atau titanium karna akan permanen,yg penting jangan gores pakai seng atau titanium karna akan permanen,yang penting jangan gores pakai seng atau titanium karena akan permanen,1,The important thing is not to scratch it with zinc or titanium because it will be permanent
Kupas tuntas koh ??,Kupas tuntas koh ,kupas tuntas koh ,kupas tuntas koh,1,peel it thoroughly
Desain sangat jelek,Desain sangat jelek,desain sangat jelek,desain sangat jelek,0,very ugly design
Stop judol,Stop judol,stop judol,stop judol,1,stop judol
Lah iPhone 12 PM saya upgrade ke ios 26 malah jadi awet baterenya... Lucu ya wkwk,Lah iPhone 12 PM saya upgrade ke ios 26 malah jadi awet baterenya Lucu ya wkwk,lah iphone 12 pm saya upgrade ke ios 26 malah jadi awet baterenya lucu ya wkwk,lah iphone 12 pm saya upgrade ke ios 26 malah jadi awet baterenya lucu ya wkwk,1,"I upgraded my iPhone 12 PM to iOS 26, but the battery lasts longer, it's funny, hahaha"
Bang kapan review xiomi 17 pro/proax??,Bang kapan review xiomi 17 proproax,bang kapan review xiomi 17 proproax,abang kapan review xiomi 17 proproax,1,"bro, when is the review of the xiaomi 17 pro promax"
masih bingung mau ambil varian pro atau tetap berkhayal,masih bingung mau ambil varian pro atau tetap berkhayal,masih bingung mau ambil varian pro atau tetap berkhayal,masih bingung mau ambil varian pro atau tetap berkhayal,1,Still confused about whether to take the pro variant or keep dreaming
kohh pendapat pribadi kalau di bandingin s25u untuk daily use mending mana ya kohh.. thanks kalau mau jawab,kohh pendapat pribadi kalau di bandingin s25u untuk daily use mending mana ya kohh thanks kalau mau jawab,kohh pendapat pribadi kalau di bandingin s25u untuk daily use mending mana ya kohh thanks kalau mau jawab,kohh pendapat pribadi kalau di bandingkan s25u untuk daily use mending mana ya kohh thanks kalau mau jawab,1,"Well, personal opinion, if you compare the S25U for daily use, which one is better? Thanks if you want to answer"
"Udah gausah ngeributin Apple, Ttp ae kalo orang2 nyari flasghip lari nya pasti antara ke apple atauga samsung?? samsung fitur lebih melimpah ui clear kamera jelas bagus gausah diragukan lagi?? ip hp simple os istimewa kiblat nya para conten creator branding unggul di segala arah simple tapi elegan?? flasghip China cuman jadi opsi ketiga real life nya lebih banyak yg pake IP or Samsung untuk kelas flasghip",Udah gausah ngeributin Apple Ttp ae kalo orang2 nyari flasghip lari nya pasti antara ke apple atauga samsung samsung fitur lebih melimpah ui clear kamera jelas bagus gausah diragukan lagi ip hp simple os istimewa kiblat nya para conten creator branding unggul di segala arah simple tapi elegan flasghip China cuman jadi opsi ketiga real life nya lebih banyak yg pake IP or Samsung untuk kelas flasghip,udah gausah ngeributin apple ttp ae kalo orang2 nyari flasghip lari nya pasti antara ke apple atauga samsung samsung fitur lebih melimpah ui clear kamera jelas bagus gausah diragukan lagi ip hp simple os istimewa kiblat nya para conten creator branding unggul di segala arah simple tapi elegan flasghip china cuman jadi opsi ketiga real life nya lebih banyak yg pake ip or samsung untuk kelas flasghip,sudah ngeributin apple tetap saja kalau mencari flasghip lari ya pasti antara ke apple atauga samsung samsung fitur lebih melimpah ui clear kamera jelas bagus diragukan lagi iphone hp simple os istimewa kiblat ya para conten creator branding unggul di segala arah simple tapi elegan flasghip china cuman jadi opsi ketiga real life ya lebih banyak yang pakai iphone orang samsung untuk kelas flasghip,1,"I'm already worried about Apple, but if you're looking for a flasghip, run away, it's definitely going to Apple or Samsung, Samsung has more abundant features, clear ui, camera is definitely good, no doubt the iPhone is a simple cellphone, special OS is a mecca for content creators, branding is superior in all directions, simple but elegant, Chinese flasghips are only the third option in real life, yes, more Samsung people use iPhones for the flasghip class."
